[Wed Apr 29 10:27:18.659091 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64290] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:24.741699 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64294] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:24.864711 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64295] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 110
[Wed Apr 29 10:27:29.614186 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64298] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:31.311356 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64300] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:31.986423 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64302] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:41.524377 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64307] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:42.291454 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64309] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:27:42.494474 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64310] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:01.421365 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64406] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.074431 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64408] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.304454 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64409] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.495473 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64410] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.693493 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64411] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:02.914515 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64412] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:03.117535 2015] [:error] [pid 552:tid 908] [client 127.0.0.1:64413] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:30:07.792002 2015] [:error] [pid 552:tid 908] [client ::1:64421] PHP Parse error:  syntax error, unexpected '}' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 112
[Wed Apr 29 10:31:21.191342 2015] [:error] [pid 552:tid 908] [client ::1:64497] PHP Fatal error:  Class 'app\\controllers\\UserForm' not found in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:32:06.332855 2015] [:error] [pid 552:tid 908] [client ::1:64549] PHP Fatal error:  Class 'app\\controllers\\UserForm' not found in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:32:06.907913 2015] [:error] [pid 552:tid 908] [client ::1:64550] PHP Fatal error:  Class 'app\\controllers\\UserForm' not found in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:32:23.236546 2015] [:error] [pid 552:tid 900] [client ::1:64555] PHP Fatal error:  Class 'app\\controllers\\UserForm' not found in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:34:45.229743 2015] [:error] [pid 552:tid 900] [client ::1:64658] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:34:45.711792 2015] [:error] [pid 552:tid 900] [client ::1:64659] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:34:45.919812 2015] [:error] [pid 552:tid 900] [client ::1:64660] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:34:46.141835 2015] [:error] [pid 552:tid 900] [client ::1:64662] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:34:46.363857 2015] [:error] [pid 552:tid 900] [client ::1:64663] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:34:59.807201 2015] [:error] [pid 552:tid 900] [client ::1:64671] PHP Fatal error:  Class 'app\\controllers\\UserForm' not found in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:35:04.905711 2015] [:error] [pid 552:tid 900] [client ::1:64675] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR) in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:35:12.671487 2015] [:error] [pid 552:tid 900] [client ::1:64698] PHP Parse error:  syntax error, unexpected 'UserForm' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:35:24.807701 2015] [:error] [pid 552:tid 900] [client ::1:64716] PHP Fatal error:  Class 'app\\controllers\\models' not found in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:35:45.804800 2015] [:error] [pid 552:tid 900] [client ::1:64727] PHP Parse error:  syntax error, unexpected 'UserForm' (T_STRING), expecting variable (T_VARIABLE) or '$' in C:\\Server\\data\\htdocs\\basic\\controllers\\SiteController.php on line 106
[Wed Apr 29 10:36:36.353855 2015] [:error] [pid 552:tid 900] [client ::1:64761] PHP Fatal error:  Class 'ActionForm' not found in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 7
[Wed Apr 29 10:37:25.187738 2015] [:error] [pid 552:tid 900] [client ::1:64821] PHP Fatal error:  Class 'ActionForm' not found in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 7
[Wed Apr 29 10:37:26.152834 2015] [:error] [pid 552:tid 900] [client ::1:64822] PHP Fatal error:  Class 'ActionForm' not found in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 7
[Wed Apr 29 10:37:26.471866 2015] [:error] [pid 552:tid 900] [client ::1:64824] PHP Fatal error:  Class 'ActionForm' not found in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 7
[Wed Apr 29 10:37:26.779897 2015] [:error] [pid 552:tid 900] [client ::1:64825] PHP Fatal error:  Class 'ActionForm' not found in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 7
[Wed Apr 29 10:37:27.122931 2015] [:error] [pid 552:tid 900] [client ::1:64826] PHP Fatal error:  Class 'ActionForm' not found in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 7
[Wed Apr 29 10:37:27.509970 2015] [:error] [pid 552:tid 900] [client ::1:64827] PHP Fatal error:  Class 'ActionForm' not found in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 7
[Wed Apr 29 13:19:18.800002 2015] [:error] [pid 552:tid 932] [client ::1:54932] PHP Parse error:  syntax error, unexpected ';' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:19:20.605182 2015] [:error] [pid 552:tid 932] [client ::1:54933] PHP Parse error:  syntax error, unexpected ';' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:19:21.267248 2015] [:error] [pid 552:tid 932] [client ::1:54935] PHP Parse error:  syntax error, unexpected ';' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:19:21.869309 2015] [:error] [pid 552:tid 932] [client ::1:54937] PHP Parse error:  syntax error, unexpected ';' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:20:13.470468 2015] [:error] [pid 552:tid 932] [client ::1:54967] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:20:14.154537 2015] [:error] [pid 552:tid 932] [client ::1:54968] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:20:14.425564 2015] [:error] [pid 552:tid 932] [client ::1:54969] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:20:14.630584 2015] [:error] [pid 552:tid 932] [client ::1:54970] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Wed Apr 29 13:20:14.825604 2015] [:error] [pid 552:tid 932] [client ::1:54971] PHP Parse error:  syntax error, unexpected '=' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 10
[Mon May 18 13:21:16.813124 2015] [:error] [pid 5160:tid 1012] [client ::1:61761] PHP Parse error:  syntax error, unexpected 'Yii' (T_STRING), expecting ',' or ';' in C:\\Server\\data\\htdocs\\basic\\views\\site\\userForm.php on line 9
